id	name	nameKo	nameEn	groupId	xUrl	photoUrl	jpSupport
member-36	はに	하니	HANI	EITSUKU	https://x.com/EITSUKU_HANI	https://assets.st-note.com/img/1761487842-bxKvG5pVIXy2qrH07dNks1BW.jpg?width=1200	unknown
member-37	ちょ	쵸	CHYO	EITSUKU	https://x.com/EITSUKU_CHYO	https://assets.st-note.com/img/1761487870-GgPWkF9de3tIC0EUKAMqaD5V.jpg?width=1200	unknown
member-38	ちび	치비	CHIBI	EITSUKU	https://x.com/EITSUKU_CHIBI	https://assets.st-note.com/img/1761487888-fWKxezVAU2BOLmjIaYNXZJb0.jpg?width=1200	unknown
member-43	える	에루	ERU	HINONAKA	https://x.com/HNK_Eru	https://assets.st-note.com/img/1761488507-LakE4Te2CODKs8wg0ASlHFXV.jpg?width=1200	unknown
member-44	あや	아야	AYA	HINONAKA	https://x.com/HNK_Ayaa	https://assets.st-note.com/img/1761488527-SDaxFYMGTyPc1C3fjrWhqZe2.jpg?width=1200	unknown
member-45	なお	나오	NAO	HURUCHU	https://x.com/HURUCHU_NAO	https://assets.st-note.com/img/1761488715-mirHf1h23FJgseoxCzI8WdqX.jpg?width=1200	ok
member-46	はつ	하츠	HEARTS	HURUCHU	https://x.com/HURUCHU_HEARTS	https://assets.st-note.com/img/1761488732-58KBkOIFtxvCJTupga916z0f.jpg?width=1200	no
member-47	えすい	에스이	S2	JIBAKU	https://x.com/JIBAKU_S2	https://assets.st-note.com/img/1761489007-wVHa4GpABPD0QhIbXZyMLrJi.jpg?width=1200	unknown
member-48	ねお	네오	NE0	JIBAKU	https://x.com/JIBAKU_NE0	https://assets.st-note.com/img/1761489025-5VhJuKEjSI6Dg0BsGPid13R9.jpg?width=1200	unknown
member-49	チズ	치즈	CHEE2E	JIBAKU	https://x.com/JIBAKU_CHEE2E	https://assets.st-note.com/img/1761489051-8esVBzOcdi32KEL1pjruyRIo.jpg?width=1200	unknown
member-50	ピか	피카	P1KA	JIBAKU	https://x.com/JIBAKU_P1KA	https://assets.st-note.com/img/1761489071-Uyo5P1lbRiMVuwECZhQFqWrJ.jpg?width=1200	unknown
member-51	つる	츠루	TSURU	KAGERERU	https://x.com/KageReru_tsuru	https://assets.st-note.com/img/1761489125-b9vK1QzIFLSUEPA50x2486wO.jpg?width=1200	no
member-52	空	소라	SORA	KAGERERU	https://x.com/KageReru_sora	https://assets.st-note.com/img/1761489146-IJUKX9n5EkdSZYCOalsLWNTo.jpg?width=1200	unknown
member-53	イヴ	이브	EVVE	KAGERERU	https://x.com/KageReru_evve	https://assets.st-note.com/img/1761489176-7CscEQ8y3F45hJXITAzaY2tk.jpg	unknown
member-54	ミニ	미니	MINI	KAGERERU	https://x.com/KageReru_mini	https://assets.st-note.com/img/1761489190-yhfD5KjLAS01eT8Hvmpi7xaR.jpg?width=1200	no
member-55	ピピ	삐삐	PPIPPI	KAGERERU	https://x.com/KageReru_ppippi	https://assets.st-note.com/img/1761489207-L6JK5UFbaCmgOPxz7iEWhlkY.jpg?width=1200	unknown
member-56	ポヨ	포요	PPOYO	LuciDreaM	https://x.com/LuciDreaM_PPOYO	https://assets.st-note.com/img/1761489655-5TSyju2Jk4a1rPCgI6oGtlme.jpg?width=1200	unknown
member-57	ゆな	유나	YUNA	LuciDreaM	https://x.com/LuciDreaM_YUNA	https://assets.st-note.com/img/1761489672-ovATw7gxJ6ifZkIaGzpXchLr.jpg?width=1200	unknown
member-58	リア	리아	RIA	LuciDreaM	https://x.com/LuciDreaM_RIA	https://assets.st-note.com/img/1761489694-n1fJUYa42ksG8dSyQL50NHC6.jpg?width=1200	unknown
member-59	DIA	다이아	DIA	MEMORIA	https://x.com/Dia_Memoria	https://assets.st-note.com/img/1761496412-BKuijJkneQXhdEtRcGqMbIvP.jpg?width=1200	unknown
member-60	Rose	로즈	Rose	MEMORIA	https://x.com/Rose_memoria	https://assets.st-note.com/img/1761496434-h09jCuAUGDKBT4igPNMqvrxy.jpg?width=1200	unknown
member-61	LEMON	레몬	LEMON	MEMORIA	https://x.com/lemon_memoria	https://assets.st-note.com/img/1761496455-0WBS4OxIgdnALova82jHuVzm.jpg?width=1200	unknown
member-62	ナビ	나비	NAB2	Mewro	https://x.com/Mewro_NAB2	https://assets.st-note.com/img/1761496699-G2WTujzIOhiCglH7eUx6PDJa.jpg?width=1200	no
member-63	ロハ	로하	R0HA	Mewro	https://x.com/Mewro_R0HA	https://assets.st-note.com/img/1761496720-Mn3PxzNquodwW9ZCrmUlDKsT.jpg?width=1200	unknown
member-64	ヒア	히아	H1AH	Mewro	https://x.com/Mewro_H1AH	https://assets.st-note.com/img/1761496736-Z38fGU4JH0mirOxMhFWza2CT.jpg?width=1200	unknown
member-65	ゆい	유이	YUI	monQ	https://x.com/yuiyui_monQ	https://assets.st-note.com/img/1761496970-P2swJe0ANYfRVrlhUqvOHbMK.jpg?width=1200	ok
member-66	リオン	리온	R1:on	monQ	https://x.com/rion_monQ	https://assets.st-note.com/img/1761496991-GaCqxeYlRPZBKN4H61nctiJT.jpg?width=1200	unknown
member-67	ピュア	퓨어	PURE	monQ	https://x.com/pure_monQ	https://assets.st-note.com/img/1761497008-erdKATZPbR02QNFGgsVBjf9Y.jpg?width=1200	unknown
member-68	うさ	우사	USA	monQ	https://x.com/usa_monQ	https://assets.st-note.com/img/1761497023-7A5LnWKaJ08u1vYHIGCcsbyO.jpg?width=1200	some
member-69	きゅう	KYU	큐우	monQ	https://x.com/9_monQ	https://assets.st-note.com/img/1761497042-VpR8o2wrmbh6SfackC9iKZYQ.jpg?width=1200	unknown
member-70	ソハ	소하	SOHA	NEKIRU	https://x.com/Nekiru_SOHA	https://assets.st-note.com/img/1761497496-2S7HiVhOQuRXaGCPFWkNnErb.jpg?width=1200	unknown
member-71	ユズ	유즈	YUZU	NEKIRU	https://x.com/Nekiru_YUZU_	https://assets.st-note.com/img/1761497516-OMWBhGeQYjawVmLv1TpSsg28.jpg?width=1200	unknown
member-72	ライ	라이	RAI	NEKIRU	https://x.com/Nekiru_RAI	https://assets.st-note.com/img/1761497532-62Ll9vQGtgB7iOUCyXqDnmcY.jpg?width=1200	unknown
member-73	ゼロ	제로	Zer0	NOLIMIT	https://x.com/NoLimit_Zer0	https://assets.st-note.com/img/1761497863-H0TVf4qwuox6ekEDM9aYn3m2.jpg?width=1200	no
member-74	ユリコ	유리코	YURIKO	NOLIMIT	https://x.com/NoLimit_YRK	https://assets.st-note.com/img/1761497886-uXTsVE9o6SIpCcjYg24PHBk5.jpg?width=1200	ok
member-75	ルカ	루카	7uka	NOLIMIT	https://x.com/NoLimit_7uka	https://assets.st-note.com/img/1761497905-5GOXzPTNVkCliDfqwd2m1JB0.jpg?width=1200	unknown
member-76	ベニ	베니	VENI	NOLIMIT	https://x.com/NoLimit_Veni	https://assets.st-note.com/img/1768850588-Ld3XfZ0oCNaFgwiKkjB4thAu.jpg?width=1200	unknown
member-77	みこ	미코	MIKO	ORIKA	https://x.com/Orika_miko	https://assets.st-note.com/img/1761498208-hVlGpNAO0tDgZE6CWvfJcoSb.jpg?width=1200	no
member-78	ゆつき	유츠키	UTSUKI	ORIKA	https://x.com/Orika_utsuki	https://assets.st-note.com/img/1761498229-c4YvQP2WyzfT7sS0KDJCIi1A.jpg?width=1200	unknown
member-79	あやか	아야카	AYAKA	ORIKA	https://x.com/Orika_ayaa	https://assets.st-note.com/img/1761498246-1syCIpvlKoeSU80Vt396uwTA.jpg?width=1200	no
member-80	ことり	코토리	KOTORI	RESTART	https://x.com/RESTARt_KOTORI	https://assets.st-note.com/img/1761498816-d9WhSD8ul2cJk4igQCLPN67m.jpg?width=1200	unknown
