memberId	artist_26ji_no_masquerade	artist_81moment	artist_8bit	artist_a_lot_of_love	artist_a_lot_of_love!	artist_aibeck	artist_airattic	artist_akb48	artist_ange_reve	artist_animo	artist_antithese	artist_appare	artist_appare!	artist_arca	artist_asutori_no_usagi	artist_avam	artist_axelight	artist_az_on	artist_babababanbi	artist_babymetal	artist_babyraids_japan	artist_bis	artist_bish	artist_cho_denpa_busters	artist_cho_tokimeki_sendenbu	artist_chula	artist_cy8er	artist_devil_anthem	artist_diavel	artist_dramatic_records	artist_eisei_to_karate	artist_fes_tive	artist_finger_runs	artist_fruits_zipper	artist_gang_parade	artist_gratia_ala	artist_hibana	artist_higeki_no_heroine_syndrome	artist_honey_spice_re	artist_i_to_u_screaming	artist_ilife	artist_inuwasi	artist_jams_collection	artist_jiemei	artist_jya_pon	artist_kamisama_no_iutoori	artist_kiss_kiss	artist_kyururin_tte_shitemite	artist_ladybaby	artist_leiwan	artist_lily	artist_love9love	artist_mad_medicine	artist_mazari	artist_megafon	artist_megamegami	artist_meltnoom	artist_mercuro	artist_merry_bad_tune	artist_miis	artist_miracle_fanfare	artist_misorado_edison	artist_mistress	artist_momoiro_clover_z	artist_monochrome	artist_natokan	artist_nekopla_pixx	artist_nemuri_orca	artist_neo_japonism	artist_neotokyo_tribe	artist_niji_no_conquistador	artist_nonfict	artist_papipupepo_wa_muzukashii	artist_phantom_siita	artist_pimms	artist_planck_stars	artist_prsmin	artist_quubi	artist_reirie	artist_ringwanderung	artist_sakusaku_jumble	artist_sect	artist_shiritsu_ebisu_chugaku	artist_shirokyan	artist_somosomo	artist_splash	artist_stainy	artist_sui_sui	artist_tebasaki_sensation	artist_tenrin	artist_the_banana_monkeys	artist_the_orchestra_tokyo	artist_the_world_standard	artist_uijin	artist_un_known_world	artist_unknown_world	artist_utage	artist_wagamama_kiite	artist_wagamama_rakia	artist_yakousei_amuse	artist_yoroz	artist_yosugala	artist_yumemiru_adolescence	artist_yurumerumo	artist_zenbukiminoseida	artist_zerokara_start	artist_zettai_chokkyuu_joshi_playballs
member-116						2																	1																					2																																				1																											
member-117						2																	1																					2																																				1																											
member-118						2																	1																					2																																				1																											
member-119																																																																					3							1														1																	
member-120																																																																					3							1														1																	
member-121																																																																					3							1														1																	
member-122																																																																					3							1														1																	
member-123																																									1																																			2																												1		2	
member-124																																									1																																			2																												1		2	
member-125																																									1																																			2																												1		2	
member-126																																												1																							2		1																					2																	
member-127																																												1																							2		1																					2																	
member-128																																												1																							2		1																					2																	
member-129																																												1																							2		1																					2																	
member-130																																												1																							2		1																					2																	
member-131			1										2																																																																										1																			1	
member-132			1										2																																																																										1																			1	
member-133			1										2																																																																										1																			1	
member-134																																							1																																1																1																1				
member-135																																							1																																1																1																1				
member-136																																							1																																1																1																1				
member-137																									1									1							1																																																															1			
member-138		1				2																																																															1																					1																	
member-139		1				2																																																															1																					1																	
member-140						1																																												1																			2																					1																	
member-141						1																																												1																			2																					1																	
member-142						1																																												1																			2																					1																	
member-143													1													1															1																				1																														1																
member-144													1													1															1																				1																														1																
member-145													1													1															1																				1																														1																
member-146																																														1				1				1															1													1																									
member-147																																														1				1				1															1													1																									
member-148																																														1				1				1															1													1																									
member-149																1													1									1															2									2																																													
member-150																1													1									1															2									2																																													
member-151																1													1									1															2									2																																													
member-152																1													1									1															2									2																																													
member-153			1																					2																																														1																																			1	1	
member-154			1																					2																																														1																																			1	1	
member-155			1																					2																																														1																																			1	1	
member-156			1																					2																																														1																																			1	1	
member-157																			1																						2																										1														1																			2							
member-158																					1					1															1																																											1																							
member-159																					1					1															1																																											1																							
member-160																					1					1															1																																											1																							
member-161																										1		1																																																1																												1			
member-162													1													1						2													1																																																														
member-163													1													1						2													1																																																														
member-164																																												1																							1																															1									
member-165																																												1																							1																															1									
member-166																																												1																							1																															1									
member-167																						2																		1							1		1																														1																												
member-168																						2																		1							1		1																														1																												
member-169																																																						1				2																																																	
member-170																																																						1				2																																																	
member-171																																																						1				2																																																	
member-172																																																						1				2																																																	
member-173																																																						1				2																																																	
member-174																												1																																																																															2
member-175																												1																																																																															2
member-176																												1																																																																															2
member-177											1																																	1														1											1																					2																	
member-178											1																																	1														1											1																					2																	
member-179											1																																	1														1											1																					2																	
member-180											1																																	1														1											1																					2																	
member-181								1											1																																																				1													2																							
member-182		1	1																																																																									1																															
member-183																					1					1																																																																										1							
member-184																					1					1																																																																										1							
member-185																					1					1																																																																										1							
member-186																					1					1																																																																										1							
member-187																1																																					1																																					1																	
member-188														2																																														1																																									1						
member-189														2																																														1																																									1						
member-190														2																																														1																																									1						
member-191														2																																														1																																									1						
member-192			1						1																1																							1																																													2														
